time,open,high,low,close,volume
2024-10-31 00:00:00,1.0861,1.08687,1.08537,1.0866,3304
2024-10-31 01:00:00,1.08662,1.08713,1.08651,1.08692,1962
2024-10-31 02:00:00,1.08692,1.08692,1.08562,1.08604,3147
2024-10-31 03:00:00,1.08605,1.08618,1.08551,1.08555,2247
2024-10-31 04:00:00,1.08551,1.0859,1.08551,1.08572,836
2024-10-31 05:00:00,1.08581,1.08586,1.08538,1.08584,1246
2024-10-31 06:00:00,1.08586,1.086,1.08578,1.08582,743
2024-10-31 07:00:00,1.08581,1.08592,1.0853,1.08534,1711
2024-10-31 08:00:00,1.08533,1.08581,1.08441,1.08446,2548
2024-10-31 09:00:00,1.08446,1.08511,1.08443,1.0849,2390
2024-10-31 10:00:00,1.08491,1.08533,1.08485,1.08498,1807
2024-10-31 11:00:00,1.08497,1.08497,1.0845,1.08478,2511
2024-10-31 12:00:00,1.08477,1.0852,1.08465,1.08512,1793
2024-10-31 13:00:00,1.08513,1.08557,1.0848,1.08517,3031
2024-10-31 14:00:00,1.08516,1.08635,1.08476,1.08589,4103
2024-10-31 15:00:00,1.0859,1.0861,1.08511,1.08561,4674
2024-10-31 16:00:00,1.08563,1.08673,1.08542,1.08665,3910
2024-10-31 17:00:00,1.08663,1.08753,1.08646,1.0867,3582
2024-10-31 18:00:00,1.08669,1.08698,1.08591,1.0868,3424
2024-10-31 19:00:00,1.08682,1.08866,1.08639,1.08797,8680
2024-10-31 20:00:00,1.08796,1.08881,1.08559,1.08594,7951
2024-10-31 21:00:00,1.08594,1.08767,1.08515,1.08655,9033
2024-10-31 22:00:00,1.08654,1.08654,1.08461,1.08554,9270
2024-10-31 23:00:00,1.08554,1.08629,1.08536,1.0858,6070
2024-11-01 00:00:00,1.08581,1.08643,1.08554,1.08615,3526
2024-11-01 01:00:00,1.08616,1.08731,1.08606,1.08704,3992
2024-11-01 02:00:00,1.08705,1.08783,1.08679,1.08773,3639
2024-11-01 03:00:00,1.08775,1.08851,1.08772,1.08833,2470
2024-11-01 04:00:00,1.0883,1.08855,1.08815,1.08821,592
2024-11-01 05:00:00,1.0882,1.08863,1.0881,1.08859,834
2024-11-01 06:00:00,1.0886,1.08863,1.08834,1.08839,1109
2024-11-01 07:00:00,1.08838,1.08874,1.08804,1.08866,1814
2024-11-01 08:00:00,1.08866,1.08885,1.08785,1.08798,3314
2024-11-01 09:00:00,1.08799,1.08811,1.08765,1.08782,2582
2024-11-01 10:00:00,1.08783,1.08789,1.08751,1.08763,1904
2024-11-01 11:00:00,1.08762,1.08789,1.08757,1.0877,1590
2024-11-01 12:00:00,1.08771,1.0878,1.08708,1.08716,2005
2024-11-01 13:00:00,1.08716,1.0875,1.08708,1.08729,2823
2024-11-01 14:00:00,1.08729,1.08775,1.08679,1.08679,3000
2024-11-01 15:00:00,1.08679,1.0868,1.08573,1.08622,4344
2024-11-01 16:00:00,1.08622,1.08684,1.0858,1.08583,2921
2024-11-01 17:00:00,1.08582,1.08611,1.08524,1.08606,3004
2024-11-01 18:00:00,1.08607,1.08693,1.08588,1.08679,2610
2024-11-01 19:00:00,1.0868,1.09057,1.08596,1.08861,11123
2024-11-01 20:00:00,1.08862,1.08896,1.08655,1.08693,9318
2024-11-01 21:00:00,1.08683,1.0875,1.08499,1.08544,9453
2024-11-01 22:00:00,1.08544,1.08586,1.08472,1.08484,6024
2024-11-01 23:00:00,1.08485,1.08543,1.08463,1.08524,3660
2024-11-02 00:00:00,1.08524,1.08529,1.0834,1.08361,2979
2024-11-02 01:00:00,1.0836,1.08455,1.08359,1.08393,3096
2024-11-02 02:00:00,1.08389,1.08416,1.08344,1.08358,2343
2024-11-02 03:00:00,1.08359,1.0837,1.08317,1.08327,3179
2024-11-04 05:00:00,1.08778,1.08809,1.08749,1.08806,1033
2024-11-04 06:00:00,1.08811,1.08811,1.08719,1.08727,3380
2024-11-04 07:00:00,1.08728,1.08791,1.08699,1.08771,2308
2024-11-04 08:00:00,1.08772,1.08912,1.08767,1.08882,3634
2024-11-04 09:00:00,1.08882,1.08942,1.08847,1.08941,3491
2024-11-04 10:00:00,1.08942,1.09049,1.08942,1.09015,3575
2024-11-04 11:00:00,1.09015,1.0903,1.08967,1.08974,2306
2024-11-04 12:00:00,1.08973,1.08999,1.08942,1.08988,3022
2024-11-04 13:00:00,1.08988,1.09019,1.08912,1.08915,3899
2024-11-04 14:00:00,1.08915,1.08955,1.08871,1.08912,3836
2024-11-04 15:00:00,1.08913,1.09007,1.08892,1.08928,4565
2024-11-04 16:00:00,1.08927,1.09021,1.08911,1.08962,3537
2024-11-04 17:00:00,1.08961,1.09028,1.08936,1.09016,2729
2024-11-04 18:00:00,1.09016,1.0914,1.08995,1.09134,3074
2024-11-04 19:00:00,1.09133,1.09147,1.09015,1.09045,3102
2024-11-04 20:00:00,1.09046,1.09092,1.08933,1.09052,4757
2024-11-04 21:00:00,1.0905,1.09096,1.08955,1.08997,5792
2024-11-04 22:00:00,1.08995,1.09081,1.0896,1.08992,6442
2024-11-04 23:00:00,1.08992,1.09009,1.08802,1.0884,4340
2024-11-05 00:00:00,1.08841,1.08937,1.08798,1.08887,3150
2024-11-05 01:00:00,1.08887,1.08891,1.08781,1.08852,2946
2024-11-05 02:00:00,1.08853,1.08857,1.08777,1.08788,2291
2024-11-05 03:00:00,1.08788,1.08814,1.08753,1.08756,2015
2024-11-05 04:00:00,1.08756,1.08775,1.08739,1.08767,1284
2024-11-05 05:00:00,1.08757,1.08787,1.08752,1.08786,418
2024-11-05 06:00:00,1.08786,1.08787,1.08733,1.08735,710
2024-11-05 07:00:00,1.08736,1.08765,1.08724,1.08756,1102
2024-11-05 08:00:00,1.08756,1.0878,1.0873,1.08775,2184
2024-11-05 09:00:00,1.08776,1.08797,1.08753,1.08773,1810
2024-11-05 10:00:00,1.08773,1.08795,1.08752,1.08757,1538
2024-11-05 11:00:00,1.08757,1.08783,1.08743,1.08752,1649
2024-11-05 12:00:00,1.08752,1.088,1.08749,1.08786,1299
2024-11-05 13:00:00,1.08785,1.08822,1.08769,1.08808,1503
2024-11-05 14:00:00,1.08809,1.08907,1.08809,1.08886,2665
2024-11-05 15:00:00,1.08888,1.08941,1.08842,1.08919,3563
2024-11-05 16:00:00,1.08918,1.08976,1.08902,1.08917,2670
2024-11-05 17:00:00,1.08919,1.08944,1.08908,1.08939,2162
2024-11-05 18:00:00,1.08939,1.09017,1.08927,1.08994,2297
2024-11-05 19:00:00,1.08994,1.09014,1.0894,1.08957,2099
2024-11-05 20:00:00,1.08958,1.08985,1.08895,1.08927,3376
2024-11-05 21:00:00,1.08927,1.09111,1.08924,1.09061,5074
2024-11-05 22:00:00,1.09058,1.09122,1.08894,1.0902,7943
2024-11-05 23:00:00,1.09021,1.09205,1.09011,1.09199,3831
2024-11-06 00:00:00,1.092,1.09303,1.09181,1.09302,2520
2024-11-06 01:00:00,1.09301,1.09365,1.09288,1.09303,3288
2024-11-06 02:00:00,1.09303,1.0934,1.09269,1.0931,2998
2024-11-06 03:00:00,1.09311,1.09311,1.09241,1.09251,2060
2024-11-06 04:00:00,1.0925,1.093,1.09241,1.09294,1327
2024-11-06 05:00:00,1.09235,1.09292,1.09235,1.09235,586
2024-11-06 06:00:00,1.09238,1.09369,1.09118,1.09339,4127
2024-11-06 07:00:00,1.09338,1.09339,1.08319,1.08362,17162
2024-11-06 08:00:00,1.08367,1.08571,1.08214,1.08364,15492
2024-11-06 09:00:00,1.08363,1.08392,1.07616,1.07624,17943
2024-11-06 10:00:00,1.07626,1.07795,1.0719,1.07464,17000
2024-11-06 11:00:00,1.07463,1.07879,1.07393,1.07775,12502
2024-11-06 12:00:00,1.07774,1.07944,1.075,1.076,14832
2024-11-06 13:00:00,1.07601,1.07615,1.07027,1.07252,14128
2024-11-06 14:00:00,1.07258,1.07523,1.07258,1.07342,15102
2024-11-06 15:00:00,1.07342,1.07812,1.0732,1.07731,13045
2024-11-06 16:00:00,1.07731,1.07741,1.075,1.07551,10049
2024-11-06 17:00:00,1.07551,1.07618,1.07415,1.07465,7057
2024-11-06 18:00:00,1.07463,1.07467,1.07011,1.0708,10534
2024-11-06 19:00:00,1.07081,1.07187,1.06824,1.06885,11832
